                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.45307,                0.61068,                0.94012,                0.99854,                      1,                  0.995,                0.93462,                0.36946,                 0.2778,                0.76153,             0.00040437,             0.00040437,             0.00040437
                     79,                0.45508,                0.60264,                0.92412,                0.99757,                0.99995,                  0.995,                 0.9393,                0.36063,                0.27586,                0.74993,             0.00040343,             0.00040343,             0.00040343
                     80,                0.44412,                0.60304,                0.90976,                0.99804,                0.99993,                  0.995,                0.93861,                0.35463,                0.27709,                0.74841,             0.00040249,             0.00040249,             0.00040249
                     81,                0.41031,                0.56683,                0.89887,                0.99036,                0.99223,                0.98754,                0.93225,                 0.3557,                0.28203,                0.74981,             0.00040154,             0.00040154,             0.00040154
                     82,                0.44185,                0.57612,                0.90456,                0.97707,                 0.9983,                  0.995,                0.93751,                0.34734,                0.28237,                0.75641,              0.0004006,              0.0004006,              0.0004006
                     83,                0.43133,                0.59606,                0.91723,                0.99466,                      1,                  0.995,                0.92566,                 0.3804,                0.27492,                0.79304,             0.00039966,             0.00039966,             0.00039966
                     84,                0.44318,                0.57063,                0.91751,                0.99728,                      1,                  0.995,                0.92916,                0.38802,                0.26838,                0.78007,             0.00039872,             0.00039872,             0.00039872
                     85,                0.43347,                0.53231,                0.89815,                0.99865,                      1,                  0.995,                0.94584,                 0.3458,                0.24193,                0.75063,             0.00039777,             0.00039777,             0.00039777
                     86,                0.44267,                0.56164,                0.91227,                0.99839,                      1,                  0.995,                0.94392,                0.32973,                 0.2472,                0.73867,             0.00039683,             0.00039683,             0.00039683
                     87,                0.41054,                0.56676,                0.89817,                0.99439,                      1,                  0.995,                0.94329,                 0.3386,                0.29513,                0.74238,             0.00039589,             0.00039589,             0.00039589
                     88,                0.43818,                0.55232,                0.89659,                0.99521,                      1,                  0.995,                0.94061,                0.34936,                0.29976,                0.74449,             0.00039495,             0.00039495,             0.00039495
                     89,                0.45052,                0.56731,                0.92145,                0.99694,                      1,                  0.995,                0.93624,                0.36331,                0.26624,                0.74922,               0.000394,               0.000394,               0.000394
                     90,                0.43097,                0.54451,                 0.8964,                0.99892,                      1,                  0.995,                 0.9379,                0.35091,                0.26206,                0.74301,             0.00039306,             0.00039306,             0.00039306
                     91,                0.39145,                0.49536,                 0.8856,                0.99746,                      1,                  0.995,                0.93999,                0.34364,                0.25194,                0.74122,             0.00039212,             0.00039212,             0.00039212
                     92,                0.40559,                0.52232,                0.88702,                0.98969,                      1,                0.99492,                0.93504,                0.34076,                0.26526,                0.74128,             0.00039118,             0.00039118,             0.00039118
                     93,                0.42659,                0.54176,                0.88725,                0.99869,                      1,                  0.995,                0.93231,                0.34682,                0.28243,                0.73859,             0.00039023,             0.00039023,             0.00039023
                     94,                0.40564,                0.52203,                 0.8925,                0.99879,                      1,                  0.995,                0.92943,                 0.3554,                0.25258,                0.74093,             0.00038929,             0.00038929,             0.00038929
                     95,                 0.4337,                0.53012,                0.90008,                0.99794,                0.99223,                  0.995,                0.93069,                0.35614,                0.26157,                0.74335,             0.00038835,             0.00038835,             0.00038835
                     96,                0.43356,                 0.5438,                0.90495,                0.99179,                0.99236,                  0.995,                0.93938,                 0.3392,                0.25048,                0.73876,             0.00038741,             0.00038741,             0.00038741
                     97,                0.42497,                0.54193,                0.90157,                0.99836,                      1,                  0.995,                0.94625,                0.32965,                0.23733,                0.73878,             0.00038646,             0.00038646,             0.00038646
                     98,                0.41475,                0.52338,                0.89401,                0.99808,                      1,                  0.995,                0.94142,                0.32748,                0.24561,                0.73673,             0.00038552,             0.00038552,             0.00038552
                     99,                0.41967,                0.50006,                0.90402,                0.99839,                      1,                  0.995,                0.94642,                0.33653,                0.25017,                0.73986,             0.00038458,             0.00038458,             0.00038458
                    100,                0.39572,                 0.5112,                0.88142,                0.99898,                      1,                  0.995,                 0.9452,                0.34726,                0.24804,                0.74097,             0.00038364,             0.00038364,             0.00038364
